right_track,economy_better,pres_approval,vote_intention,vote_2020,consider_trump,not_trump,cand_favorability_trump,cand_favorability_biden,trump_biden,employment,gender,census_region,race_ethnicity,household_income,education,age,state,vote_trump,vote_Biden,is_male
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Very unfavorable,Donald Trump,Full-time employed,Female,Midwest,White,"$75,000 to $79,999",Associate Degree,49,WI,1,0,0
0,0,Somewhat approve,"Yes, I will vote",I am not sure/don't know,Don't know,Don't know,Somewhat unfavorable,Somewhat unfavorable,Donald Trump,Full-time employed,Female,South,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",39,VA,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",46,VA,1,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Somewhat unfavorable,Donald Trump,Unemployed or temporarily on layoff,Female,South,White,"$65,000 to $69,999",High school graduate,75,TX,1,0,0
1,1,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Very unfavorable,Donald Trump,Retired,Female,West,White,"Less than $14,999",High school graduate,52,WA,1,0,0
0,0,Somewhat approve,"No, I am not eligible to vote",I would not vote,No,Not Asked,Somewhat favorable,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Female,Midwest,White,"Less than $14,999",Other post high school vocational training,44,OH,0,0,0
0,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Student,Female,Northeast,White,"$80,000 to $84,999","Completed some college, but no degree",21,MA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Female,South,"Black, or African American","Less than $14,999","Completed some college, but no degree",38,TX,0,1,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,West,White,"$40,000 to $44,999","Completed some college, but no degree",69,CA,1,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Very unfavorable,Donald Trump,Homemaker,Female,South,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",59,NC,1,0,0
0,0,Somewhat disapprove,"Yes, I will vote",I am not sure/don't know,Don't know,Yes,Somewhat unfavorable,Very unfavorable,Donald Trump,Part-time employed,Female,Midwest,White,"$100,000 to $124,999",Masters degree,51,OH,1,0,0
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Somewhat favorable,Donald Trump,Self-employed,Female,South,White,"$20,000 to $24,999","Completed some graduate, but no degree",74,MD,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Self-employed,Female,South,White,"$60,000 to $64,999","Completed some college, but no degree",55,FL,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Somewhat unfavorable,Donald Trump,Part-time employed,Female,South,White,"$15,000 to $19,999",Other post high school vocational training,62,WV,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Female,Midwest,White,"$30,000 to $34,999",High school graduate,42,OH,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Retired,Female,Northeast,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",81,NY,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Self-employed,Female,South,White,"$40,000 to $44,999","Completed some college, but no degree",22,KY,0,1,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,South,White,NA,"College Degree (such as B.A., B.S.)",73,FL,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Male,Midwest,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",71,IN,1,0,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,NA,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Female,Midwest,White,NA,High school graduate,63,MI,0,1,0
0,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Part-time employed,Male,West,White,"Less than $14,999","College Degree (such as B.A., B.S.)",41,WA,0,1,1
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Don't know,Very unfavorable,Very unfavorable,Donald Trump,Retired,Female,Midwest,White,"$40,000 to $44,999","Completed some graduate, but no degree",71,IA,1,0,0
0,0,Strongly disapprove,Not sure,Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Homemaker,Female,West,White,NA,"Completed some college, but no degree",60,CA,0,1,0
